Time,FR_t0,FR_t1,FR_t2,FL_t0,FL_t1,FL_t2,RL_t0,RL_t1,RL_t2,RR_t0,RR_t1,RR_t2,FR_q0,FR_q1,FR_q2,FL_q0,FL_q1,FL_q2,RL_q0,RL_q1,RL_q2,RR_q0,RR_q1,RR_q2,gyro_0,gyro_1,gyro_2,acc_0,acc_1,acc_2,foot_distance,class
0.22572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-426,1
0.235938,4.27734,1.62891,10.4258,-0.07031,-1.77734,2.92969,-3.08984,2.79297,11.0938,-0.66406,-0.83984,3.44922,0.058981,0.811317,-1.56595,-0.05147,1.04815,-2.00599,-0.06007,0.814647,-1.56458,0.078298,1.06498,-2.02964,0.05312,0.157877,0.018636,0.530316,-1.15401,12.1841,-232.673,1
0.265555,4.27734,1.62891,10.4258,-0.07031,-1.77734,2.92969,-3.08984,2.79297,11.0938,-0.66406,-0.83984,3.44922,0.058981,0.811317,-1.56595,-0.05147,1.04815,-2.00599,-0.06007,0.814647,-1.56458,0.078298,1.06498,-2.02964,0.05312,0.157877,0.018636,0.530316,-1.15401,12.1841,-232.673,1
0.276117,2.89062,2.17578,9.75781,0.246094,-1.62891,4.04297,-3.33594,3.1875,9.16406,0.441406,-1.80469,3.78125,0.062311,0.8379,-1.56547,-0.05311,1.01339,-2.08245,-0.06001,0.838869,-1.56426,0.065884,1.02296,-2.09864,-0.05234,-0.0147,-0.03569,0.921768,0.667982,6.39132,-219.06,1
0.286484,2.89062,2.17578,9.75781,0.246094,-1.62891,4.04297,-3.33594,3.1875,9.16406,0.441406,-1.80469,3.78125,0.062311,0.8379,-1.56547,-0.05311,1.01339,-2.08245,-0.06001,0.838869,-1.56426,0.065884,1.02296,-2.09864,-0.05234,-0.0147,-0.03569,0.921768,0.667982,6.39132,-219.06,1
0.296756,2.89062,2.17578,9.75781,0.246094,-1.62891,4.04297,-3.33594,3.1875,9.16406,0.441406,-1.80469,3.78125,0.062311,0.8379,-1.56547,-0.05311,1.01339,-2.08245,-0.06001,0.838869,-1.56426,0.065884,1.02296,-2.09864,-0.05234,-0.0147,-0.03569,0.921768,0.667982,6.39132,-219.06,1
0.308125,2.89062,2.17578,9.75781,0.246094,-1.62891,4.04297,-3.33594,3.1875,9.16406,0.441406,-1.80469,3.78125,0.062311,0.8379,-1.56547,-0.05311,1.01339,-2.08245,-0.06001,0.838869,-1.56426,0.065884,1.02296,-2.09864,-0.05234,-0.0147,-0.03569,0.921768,0.667982,6.39132,-219.06,1
0.331389,3.41016,0.292969,9.27344,1.38281,1.77734,-1.92578,-3.26172,-0.21875,10.0898,-0.98828,2.14844,-2.33594,0.062856,0.864302,-1.56329,-0.0485,0.799024,-1.70733,-0.0571,0.86406,-1.56172,0.050261,0.809682,-1.71976,0.130884,-0.14146,-0.06339,1.1959,0.45011,4.68665,-283.11,1
0.350993,3.41016,0.292969,9.27344,1.38281,1.77734,-1.92578,-3.26172,-0.21875,10.0898,-0.98828,2.14844,-2.33594,0.062856,0.864302,-1.56329,-0.0485,0.799024,-1.70733,-0.0571,0.86406,-1.56172,0.050261,0.809682,-1.71976,0.130884,-0.14146,-0.06339,1.1959,0.45011,4.68665,-283.11,1
0.366271,-0.14453,3.80859,-4.82031,-3.38672,0.617188,8.64453,0.617188,3.08984,-4.78516,3.38672,1.08594,10.1289,0.045053,0.9208,-1.62271,-0.05722,0.763539,-1.56862,-0.04729,0.923525,-1.62187,0.059465,0.771895,-1.58574,-0.45714,0.041764,-0.04741,0.204704,-2.67432,11.2623,-305.572,1
